mID,pID,profession
tt0385887,nm0001570,actor
tt0385887,nm1813221,actress
tt0385887,nm0000285,actor
tt0385887,nm0000353,actor
tt0385887,nm0066016,producer
tt0385887,nm0585958,producer
tt0385887,nm0698133,producer
tt0385887,nm1247594,producer
tt0437086,nm4023073,actress
tt0437086,nm0910607,actor
tt0437086,nm0000124,actress
tt0437086,nm0991810,actor
tt0437086,nm0001675,director
tt0437086,nm0484457,producer
tt0441881,nm1379938,actor
tt0441881,nm9826817,actor
tt0441881,nm1542397,actor
tt0441881,nm2527406,actor
tt0441881,nm0826541,director
tt0448115,nm0755911,producer
tt0448115,nm1157048,actor
tt0448115,nm0835016,actor
tt0448115,nm4755508,actor
tt0448115,nm6244013,actor
tt0448115,nm2497546,director
tt0805647,nm2267950,producer
tt0805647,nm0004266,actress
tt0805647,nm0818055,actress
tt0805647,nm0001804,actor
tt0805647,nm0001674,actor
tt0805647,nm0000709,director
tt10009434,nm2583240,actor
tt10009434,nm5372118,actress
tt10009434,nm9624586,actor
tt10009434,nm10043983,actress
tt10009434,nm3643047,producer
tt10009434,nm6792667,producer
tt10011320,nm9559142,producer
tt10011320,nm1996339,producer
tt10011508,nm2649703,actress
tt10011508,nm3059805,director
tt10011508,nm8699819,producer
tt10022384,nm1319884,producer
tt10022384,nm2050746,actress
tt10022384,nm2907513,actress
tt10022384,nm0051394,actor
tt10022384,nm0994379,director
tt10022384,nm8424341,producer
tt10049848,nm8459909,actor
tt10049848,nm0001595,actor
tt10049848,nm6414284,actress
tt10049848,nm2300127,actress
tt10049848,nm3163561,director
tt10049848,nm7253844,producer
tt10051088,nm0088935,actor
tt10051088,nm3373278,actress
tt10051088,nm0123069,actor
tt10051088,nm1250851,actor
tt10051088,nm3855034,producer
tt10051088,nm1689177,producer
tt10054876,nm7535044,actor
tt10054876,nm9263047,actor
tt10054876,nm5927152,actor
tt10054876,nm10561854,actor
tt10054876,nm10561853,director
tt10054876,nm10330869,producer
tt10059518,nm0000128,actor
tt10059518,nm3308569,actress
tt10059518,nm5145655,actor
tt10059518,nm0801051,actor
tt10059518,nm0097517,director
tt10059518,nm0255353,producer
tt10059518,nm1247584,producer
tt10059518,nm0348151,producer
tt10060094,nm1227814,actress
tt10060094,nm3262317,actor
tt10060094,nm0004825,actress
tt10060094,nm0447785,actress
tt10060094,nm0593618,director
tt10060094,nm0471097,producer
tt10060386,nm0624178,actress
tt10060386,nm0244740,actress
tt10060386,nm0357405,actress
tt10060386,nm4907463,actor
tt10060386,nm1363725,director
tt10060386,nm8761643,producer
tt10060386,nm11646466,producer
tt10073008,nm10569393,director
tt10073008,nm0485895,director
tt10073008,nm7556970,producer
tt10075536,nm3983060,actress
tt10075536,nm7545569,actor
tt10075536,nm11714610,actor
tt10075536,nm0950742,actor
tt10075536,nm11363237,actor
tt10075536,nm10571310,director
tt10075536,nm10571309,director
tt10075536,nm1211088,actor
tt10075536,nm0041247,actor
tt10077042,nm2327512,actor
tt10077042,nm10355059,actor
tt10077042,nm5606910,actress
tt10077042,nm4398223,actor
tt10077042,nm3430436,actor
tt10077042,nm5011663,producer
tt10077042,nm9193601,actor
tt10077042,nm7182128,actor
tt10077042,nm6794346,actor
tt10078664,nm1847621,actor
tt10078664,nm3148014,actress
tt10078664,nm1290447,actress
tt10078664,nm2766218,actress
tt10078664,nm8279086,actor
tt10078664,nm4341114,director
tt10078664,nm11306596,producer
tt10078664,nm8099914,actor
tt10081596,nm10573942,actor
tt10081596,nm9044070,actor
tt10081596,nm10573939,actress
tt10081596,nm10573940,actress
tt10081596,nm10573941,actor
tt10081596,nm6982686,director
tt10081596,nm10131196,actor
tt10081596,nm10573938,actor
tt10085338,nm3869592,actress
tt10085338,nm0001599,actor
tt10085338,nm0737533,actress
tt10085338,nm7908135,actor
tt10085338,nm1391169,director
tt10086648,nm0648762,actress
tt10086648,nm3065061,actor
tt10086648,nm1157364,actress
tt10086648,nm1885802,actor
tt10086648,nm0624383,actress
tt10086648,nm0793997,director
tt10086648,nm0559637,producer
tt10088006,nm1532744,producer
tt10088006,nm9467788,actor
tt10088006,nm8525786,actress
tt10088006,nm5795819,actor
tt10088006,nm3807784,director
tt10088006,nm7534845,producer
tt10098398,nm3670911,director
tt10098398,nm10581038,producer
tt10098398,nm7573616,producer
tt10107868,nm2541767,actress
tt10107868,nm2684348,actress
tt10107868,nm3815162,actress
tt10107868,nm3485108,actor
tt10107868,nm6687261,director
tt10107868,nm5111727,producer
tt10127410,nm1670574,actor
tt10127410,nm3877188,actor
tt10127410,nm6954008,actor
tt10127410,nm0033152,actor
tt10127410,nm7242611,actress
tt10127410,nm0620378,director
tt10127410,nm5862496,actress
tt10127410,nm1655689,actress
tt10127562,nm4134328,actress
tt10127562,nm0089710,actor
tt10127562,nm3409817,actor
tt10127562,nm0945724,director
tt10127562,nm1315809,producer
tt10127562,nm0999118,producer
tt10132048,nm0851452,director
tt10132048,nm0178404,producer
tt10132048,nm4774141,producer
tt10132048,nm4928971,producer
tt10133296,nm0657145,actress
tt10133296,nm1738067,actor
tt10133296,nm1339419,actor
tt10133296,nm0843851,actor
tt0069049,nm0001379,actor
tt0069049,nm0462648,actress
tt0069049,nm0000953,actor
tt0069049,nm0001782,actress
tt0069049,nm0000080,director
tt0069049,nm0550881,producer
tt0069049,nm1475059,producer
tt0360556,nm0430107,actor
tt0360556,nm2210323,actor
tt0360556,nm0441654,actress
tt0360556,nm0788335,actor
tt0360556,nm1023919,director
tt0360556,nm0167708,producer
tt0451201,nm1837667,actor
tt0451201,nm1867990,actress
tt0451201,nm0741378,actress
tt0451201,nm0791898,actress
tt0451201,nm0853204,director
tt0451279,nm2933757,actress
tt0451279,nm1517976,actor
tt0451279,nm0000705,actress
tt0451279,nm0205063,actress
tt0451279,nm0420941,director
tt0460890,nm4360085,actor
tt0460890,nm0000295,actress
tt0460890,nm0000112,actor
tt0460890,nm0633223,actress
tt0460890,nm1989536,director
tt0460890,nm0074100,producer
tt0460890,nm0947695,producer
tt0475290,nm0000982,actor
tt0475290,nm0000123,actor
tt0475290,nm2403277,actor
tt0475290,nm0000146,actor
tt0475290,nm0001053,director
tt0475290,nm0001054,director
tt0475290,nm0079677,producer
tt0475290,nm0271479,producer
tt0490215,nm0256542,producer
tt0490215,nm1940449,actor
tt0490215,nm3485845,actor
tt0490215,nm0000553,actor
tt0490215,nm0038355,actor
tt0490215,nm0000217,director
tt0490215,nm0147603,producer
tt0490215,nm0208381,producer
tt0491203,nm2539953,actress
tt0491203,nm2851530,actor
tt0491203,nm1925239,actor
tt0491203,nm0334441,actress
tt0491203,nm0149491,director
tt0491203,nm0654077,producer
tt0491203,nm0005544,producer
tt0493405,nm0671567,actor
tt0493405,nm1009277,actor
tt0493405,nm0000352,actor
tt0493405,nm4023073,actress
tt0493405,nm0576571,producer
tt0493405,nm0659123,producer
tt0498381,nm0531827,producer
tt0498381,nm4436761,actress
tt0498381,nm1025139,actor
tt0498381,nm0301959,actor
tt0498381,nm0000352,actor
tt0498381,nm1279573,director
tt0800325,nm3150488,actor
tt0800325,nm3701064,actor
tt0800325,nm0446622,actor
tt0800325,nm3206486,actor
tt0800325,nm0871860,director
tt0803096,nm0746273,producer
tt0803096,nm1379938,actor
tt0803096,nm1745736,actress
tt0803096,nm0004936,actor
tt0803096,nm1002641,actor
tt0803096,nm1512910,director
tt0803096,nm1568035,producer
tt0803096,nm0308672,producer
